Team	Player	Play Type	Time	Maryland	Bowie St
Bowie St	Miles Jackson	Turnover	19:45	0	0
Maryland	Rasheed Sulaimon	Steal	19:43	0	0
Maryland	Rasheed Sulaimon	Miss	19:41	0	0
Maryland	Jake Layman	Rebound	19:41	0	0
Bowie St	Justin Beck	Foul	19:40	0	0
Maryland	Jake Layman	Miss	19:20	0	0
Maryland	Robert Carter Jr.	Rebound	19:20	0	0
Maryland	Rasheed Sulaimon	Miss	19:16	0	0
Bowie St	Miles Jackson	Rebound	19:16	0	0
Bowie St	Andre Jackson	Miss	19:02	0	0
Maryland	Team	Rebound	19:02	0	0
Maryland	Robert Carter Jr.	Turnover	18:43	0	0
Bowie St	Justin Beck	Miss	18:29	0	0
Maryland	Melo Trimble	Rebound	18:29	0	0
Maryland	Melo Trimble	Turnover	18:22	0	0
Bowie St	Miles Jackson	Miss	18:16	0	0
Maryland	Melo Trimble	Rebound	18:16	0	0
Bowie St	Enuoma Ebinum	Foul	18:06	0	0
Maryland	Diamond Stone	2-pt basket	17:56	2	0
Bowie St	Dayshawn Wells	Miss	17:33	2	0
Maryland	Robert Carter Jr.	Rebound	17:33	2	0
Maryland	Diamond Stone	2-pt basket	17:25	4	0
Maryland	Jake Layman	Assist	17:25	4	0
Bowie St	Justin Beck	Miss	17:10	4	0
Bowie St	Miles Jackson	Rebound	17:10	4	0
Bowie St	Miles Jackson	2-pt basket	17:06	4	2
Bowie St	Dayshawn Wells	Foul	16:49	4	2
Maryland	Jake Layman	2-pt basket	16:39	6	2
Maryland	Robert Carter Jr.	Assist	16:39	6	2
Bowie St	Andre Jackson	Miss	16:24	6	2
Bowie St	Justin Beck	Rebound	16:24	6	2
Maryland	Melo Trimble	Foul	16:15	6	2
Bowie St	Enuoma Ebinum	Missed FT	16:15	6	2
Bowie St	Enuoma Ebinum	Made FT	16:15	6	3
Maryland	Jared Nickens	Sub In	16:15	6	3
Maryland	Melo Trimble	Sub Out	16:15	6	3
Bowie St	Julian Livingston	Sub In	16:15	6	3
Bowie St	Michael Briscoe	Sub In	16:15	6	3
Bowie St	Miles Jackson	Sub Out	16:15	6	3
Bowie St	Enuoma Ebinum	Foul	15:50	6	3
		MEDIA TIMEOUT	15:50	6	3
